id,humidity,light_intensity,temperature,wind_speed,predict_val,real_val
1,93.4,0,25.6,5,1.46074,0
2,93.9,0,25.5,6,0.592381,0
3,94.9,0,25.4,2,0.349733,0
4,96.6,0,25,0,0.349733,0
5,96.4,0,24.8,4,0.349733,0
6,95.4,0,25.2,0,0.268932,0
7,96.4,0,25,0,0.268932,0
8,97.9,0,24.7,0,0.268932,0
9,98.8,0,24.5,0,0.112928,0
10,96.7,0,24.7,0,0.100807,0
11,97.3,0,24.7,0,0.10664,0
12,99.9,0,24.1,0,0.144189,0
13,98.5,0,24.2,0,0.144189,0
14,98.3,0,24.3,0,0.144189,0
15,97.8,0,24.5,0,0.156309,0
16,99.9,0,23.9,0,0.0845804,0
17,99.4,0,24.1,0,0.234873,0
18,99.7,0,23.9,0,0.240933,0
19,98.3,1,24.4,0,0.0906406,0
20,99.6,0,24.1,0,0.0845804,0
21,99.1,0,24.2,0,0.0845804,0
22,99.6,0,24.2,7,0.0845804,0
23,99.4,0,24.2,4,0.157342,0
24,99.8,1,24.2,0,0.188817,0
25,99.9,5,24.1,0,0.253839,0.76
26,99.9,16,24.2,0,0.384459,1.312
27,99.5,51,24.4,0,0.616504,2.197
28,99.2,72,24.6,0,0.594115,1.074
29,97.1,98,25.1,6,0.960601,0.72
30,97.9,141,25.1,0,1.19206,0.847
31,98,143,25.1,0,1.76342,2.263
32,90,479,28.1,2,2.08657,3.338
33,83.8,654,30.1,0,1.81838,4.926
34,77,828,31.9,0,2.1839,6.271
35,75.4,957,31.6,3,2.02896,6.271
36,71.8,1031,32.6,9,4.04734,4.014
37,67.7,1131,34.1,4,3.75413,5.501
38,66.3,1243,34.2,2,8.45626,7.077
39,60.6,1376,35.8,8,8.37232,8.194
40,73.5,896,30.9,12,9.69787,8.883
41,73.9,1072,33,1,11.0038,11.579
42,70.8,1181,33.6,4,10.9548,10.473
43,71.7,1408,32.7,20,11.3968,11.023
44,69.4,1111,32.3,4,14.0489,11.846
45,70.9,1384,32.9,7,15.1992,19.05
46,70.3,859,33.1,3,17.5765,18.748
47,73.4,933,31.8,4,16.3669,18.748
48,70,1143,32.1,6,16.0001,10.095
49,68.3,1654,33.5,13,16.8041,10.095
